index,time,id,c-text
0,Mon Oct 28 10:19:10 2024,28891,['Сегодня в МИФИ начинается II Научная школа для учителей Путь к звездам В течение недели 25 школьных учителей физики из Москвы будут слушать лекции ученых физиков выполнять лабораторные работы знакомиться с научными лабораториями и установками Среди лекторов которые расскажут учителям о современных научных проблемах академик Михаил Данилов член корреспондент РАН Дмитрий Горбунов Герой Российской Федерации летчик космонавт Сергей Авдеев а также физики из МИФИ Декан ФПКПК директор Центра мониторинга и рейтинговых исследований Сергей Киреев и доцент кафедры экспериментальной ядерной физики и космофизики ИЯФИТ Михаил Коротков приглашают Вас на Научную школу для учителей Путь к звездам в видеообращении']
1,Tue Oct 29 17:16:51 2024,28899,['Журнал МИФИ АТОМ победил на Фестивале молодежной журналистики Редакция журнала АТОМ стала лауреатом II степени на Фестивале молодежной журналистики TIME CODE В октябре редакция журнала АТОМ приняла участие во Всероссийском фестивале молодежной журналистики TIME CODE имеющем федеральный статус Фестиваль включает в себя два этапа заочный конкурс и открытый финал который проходит во Дворце молодежи в Екатеринбурге После участия в заочном конкурсе АТОМ вошел в шорт лист фестиваля в номинации Молодежное издание мультиформат и попал в топ 3 среди 35 участников а затем на открытом финале в столице Урала редакция завоевала второе место Когда мы решили принять участие в конкурсе я не надеялась что мы получим какую либо награду все же наш журнал это локальное издание для сообщества мифистов Однако сам факт того что мы вошли в шорт лист а впоследствии заняли второе место очень удивил и порадовал Мы не ожидали что нашу работу смогут оценить люди извне Мы благодарим весь МИФИ Центр студенческих творческих объединений амбассадоров и конечно же участников нашей редакции Будем продолжать трудиться и делать журнал еще лучше говорит Амалия Гусакова экс главный редактор журнала АТОМ Поздравляем всех причастных к созданию журнала АТОМ и желаем редакции творческих успехов']
2,Tue Oct 29 15:15:42 2024,28898,['Ежегодное исследование вовлеченности и удовлетворенности студентов и сотрудников университета проходит в МИФИ до 8 ноября Более 400 сотрудников разных подразделений и филиалов НИЯУ МИФИ 28 октября приняли участие в вебинаре открывающем большое ежегодное исследование вовлеченности и удовлетворенности студентов и сотрудников университета Подробнее Напомним принять участие в опросе можно до 8 ноября Ссылка на опрос для сотрудников московской площадки и филиалов НИЯУ МИФИ а также колледжей МоПК и УрТК Ссылка на опрос для студентов здесь']
3,Tue Oct 29 12:08:19 2024,28897,['1 и 2 ноября МИФИ примет участие в 59 й Московской международной выставке Образование и карьера Выставка Образование и карьера проводится при поддержке Министерства науки и высшего образования РФ Министерства промышленности и торговли РФ Правительства города Москвы По масштабу и качеству проведения выставка занимает одно из первых мест среди подобных мероприятий как в России так и в мире Более 100 учебных заведений соберутся в Гостином дворе чтобы в режиме реального времени рассказать вам о своих программах условиях приема проходных баллах и ответить на любые ваши вопросы Даты 01 и 02 ноября Адрес Улица Ильинка 4 Место Гостиный двор Время 1 ноября с 11 00 до 18 00 2 ноября с 10 00 до 17 00 Регистрация']
4,Mon Oct 28 14:19:24 2024,28896,['В МИФИ предложили схему по наработке плутония 238 с использованием энергетических ядерных реакторов По словам заместителя директора ИПЯТ НИЯУ МИФИ доктора физико математических наук Игоря Коновалова суть рассмотренной схемы заключается в том что из отработанного уранового топлива АЭС в качестве промежуточной ступени будут извлекаться изотопы америция или нептуния которые в настоящее время рассматриваются как радиоактивные отходы и из них будет нарабатываться изотоп плутоний 238 Данная схема уже была рассмотрена на семинаре с участием ведущих компаний и корпораций России На нем была принята резолюция что использование изотопа Pu 238 для автономных источников энергии является перспективным вариантом для отечественной Лунной программы и исследования космоса Подробнее по ссылке']
5,Mon Oct 28 12:31:00 2024,28894,['НТО от МИФИ кто может участвовать почему это интересно и какие бонусы дает победа МИФИ проводит Национальную технологическую олимпиаду НТО для российских школьников 8 11 классов по нескольким профилям Давайте в них разберемся 1 Разработка мобильных приложений В профиле поиск и анализ информации установка программного обеспечения составление запросов к серверам и базам данных В финале школьники создадут программный продукт с клиент серверной архитектурой 2 Квантовый инжиниринг В профиле не только соревнования но и образовательные курсы мастер классы по работе с оборудованием решение практически значимых квантовых кейсов Финалисты НТО разработают квантово технологическую систему и продемонстрируют ее работу 3 Информационная безопасность В профиле участники продемонстрируют навыки по противодействию киберпреступлениям Финалистам предложат решить задачи основанные на реальных приемах и инструментах хакеров 4 Ядерные технологии Перед финалистами профиля поставят задачу разработки и внедрения цифровых двойников технических система ядерных энергетических установок Победители и призеры НТО получают дополнительные баллы за индивидуальные достижения при поступлении в вузы Всем участникам доступны бесплатные лекции вебинары разборы заданий от ведущих специалистов в самых разных областях науки Первый шаг на пути к победе регистрация на сайте НТО а также участие в отборочном этапе который уже начался и будет проходить дистанционно до 5 ноября']
8,Sat Oct 26 11:01:00 2024,28887,['Надень шапку а ты поел сегодня Думаем вас не раз злили эти фразы ведь вы уже выросли к чему такие вопросы Но эти слова узнает каждый и это слова мамы А помните как она мазала зеленкой разбитую коленку как ругала за двойку и успокаивала когда вы грустили из за якобы проблемы всей своей жизни но оказалось что это пустяк Мама первое слово в каждой семье и мы всегда будем детьми пока есть родители Совсем скоро отмечается День матери и мы знаем как сделать его особенным Приходи с 5 по 8 ноября к студенческому офису и подпиши одну из уникальных открыток маме а МИФИ возьмет доставку на себя Давай сделаем приятное той кто всегда заботился о тебе и продолжает это делать даже когда ты говоришь Мам ну хватит']
9,Fri Oct 25 18:00:01 2024,28884,['О проекте Передовые инженерные школы Федеральный проект Передовые инженерные школы ПИШ проект Министерства науки и высшего образования России направленный на подготовку высококвалифицированных инженерных кадров в ведущих отраслях страны Цель проекта Передовые инженерные школы обеспечить высокопроизводительные экспортноориентированные секторы экономики страны квалифицированными кадрами создать новейшие виды высокотехнологичной продукции в партнерстве с высокотехнологичными компаниями Российской Федерации Национальный исследовательский ядерный университет МИФИ является оператором федерального проекта Передовые инженерные школы осуществляет методическое экспертно аналитическое информационно консультационное сопровождение проекта ПИШ Методический центр Передовые инженерные школы НИЯУ МИФИ отвечает за разработку методического и аналитического инструментария для оценки результативности и эффективности деятельности ПИШ проведение мониторинга достижения результатов и показателей реализации проекта а также подготовку аналитических материалов о ходе и перспективах реализации проекта Электронная информационная система Современное инженерное образование это площадка для объединения и сотрудничества заинтересованных сторон в развитии инженерного образования Система способствует формированию связей для обмена достижениями и результатами формирует среду кооперативного развития инженерного дела России предоставляет актуальную информацию о действующих практиках в инженерном образовании дополнительном профессиональном образовании стажировках олимпиадах конкурсах Активными участниками электронной информационной системы Современное инженерное образование являются Передовые инженерные школы технические университеты классические университеты высокотехнологичные компании квалифицированные инженеры студентов инженерных специальностей Подробнее о работе Методического центра ПИШ НИЯУ МИФИ можно узнать на сайте Современное инженерное образование и в Телеграм канале ПИШ Минобрнауки']
10,Fri Oct 25 17:02:38 2024,28883,['ЦБ поднял ставку выше кризисного уровня 2022 года с 19 до 21 Самую обсуждаемую новость дня прокомментировал кандидат экономических наук доцент кафедры финансового мониторинга club46006621 ИФТЭБ НИЯУ Павел Леонов Можете дать прогноз как вы думаете будет ли еще поднята ставка Я считаю что та ставка которая есть сейчас она очень сильно завышенная Реальная ставка для нашей экономики где то порядка 14 15 Все что выше уже не имеет смысла ни 19 ни 21 ни 23 Ну учитывая что банки наши они немножко наперед думают они уже подняли ставки по ипотеке до 24 Поэтому в принципе апсайд на 3 он есть Будет это перед Новым Годом или не будет этого здесь никто не знает']
11,Fri Oct 25 16:10:00 2024,28882,['Научно и нескучно мифисты о космосе кошках компьютерах и гидродинамике Осень Время собирать букеты ярких кленовых листьев гладить уютно мурлыкающих кошек мечтать о звездах и слушать мифистов которые умеют умно говорить о простом и интересно о сложном']
