i,time,id,text
0,Sun Nov 24 15:30:29 2024,29174,"Третий цикл Акселератора: продолжаем знакомство!

Продолжаем рассказывать о командах Технологического акселератора. Сегодняшний пост посвятим разработкам в сфере HR. По оценкам аналитиков, уровень безработицы в России сейчас составляет 2,6%, а к 2030 году он снизится до 1%. Поэтому бизнес уделяет много внимания развитию собственных кадров и привлечению талантливой молодежи. 
В решении этой задачи могут помочь два продукта, разрабатываемые командами Акселератора: 

Траектория – это онлайн-сервис (http://trajectoria.ru/) для анализа потенциала начинающих специалистов, который может использовать как крупный бизнес, так и сами студенты и даже ученики школ. Сервис помогает оценить текущий уровень актуальных для рынка компетенций и ценностных установок, предложить рекомендации по развитию и построить эффективный карьерный путь. Для HR-специалистов сервис предоставляет возможность проводить скоринговую оценку кандидатов на ранних этапах отбора по 14 ключевым показателям, что позволяет экономить от 2 до 4 часов на оценку каждого претендента. Сервис уже апробировали более 1000 человек. В рамках акселератора команде проекта предстоит договорится о пилотировании сервиса в “Росатоме” для подтверждения эффективности и востребованность решения. 

TeamKeeper – HR-tech платформа, использующая искусственный интеллект для прогнозирования рисков увольнения сотрудников и предоставления рекомендаций по их удержанию. Система анализирует рабочую нагрузку, графики отпусков и результаты опросов, выявляя признаки профессионального выгорания и предоставляя рекомендации по удержанию специалистов. Эффективность решения подтверждена пилотными проектами в НИЯУ МИФИ и ""Гринатоме"", где модель продемонстрировала точность предсказания 81% и 87%, соответственно. С момента основания весной 2024 года TeamKeeper успешно прошла акселерационную программу ""Академия инноваторов"" (https://i.moscow/academy) и участвует в акселераторе технологических проектов НИЯУ МИФИ. Решение было представлено на демо-дне ""Академии инноваторов"", молодежном дне ПМЭФ и IT Core. Проведено более 20 экспертных интервью с представителями ведущих компаний, включая VK, X5 Retail Group и Гринатом. В ближайшей перспективе планируется расширение тестирования в структурах “Росатома”.

7 и 8 ноября обе эти команды посетили организованную Госкорпорацией “Росатом” конференцию IT Core (https://atommedia.online/2024/11/08/organizovannaya-rosatomom-konferen/), где смогли напрямую пообщаться с заказчиками."
1,Sun Nov 24 12:00:02 2024,29170,"❗В цифровом пространстве появляется всё больше новых схем мошенничества. 

Наши друзья из [club19817989|ВкусВилл] подготовили памятку ⬆

Злоумышленники выдают себя за знакомых, манипулируют чувствами, эмоциями и даже самый осторожный человек рискует попасться. 

Напоминаем вам про безопасность личных данных, аккаунтов, ваших паролей. Поделитесь данным постом со своими близкими.

⚠Рекомендуем установить двухфакторную аутентификацию в телеграме:
⚙Настройки — Конфиденциальность — Облачный пароль."
2,Sun Nov 24 10:25:00 2024,29168,
3,Sat Nov 23 18:00:00 2024,29166,"✨Завершая наш праздничный день, давайте вместе окунёмся в тёплые воспоминания о нашем любимом МИФИ! ✨ Делимся с вами архивными фото. А вы делитесь своими фотографиями в комментариях⬇ #МИФИ #ИсторияМИФИ"
4,Sat Nov 23 17:00:51 2024,29164,"Дорогие выпускники! 🧑‍🎓👩‍🎓

Сегодня нашему легендарному ядерному университету исполняется 82 года! 🎉

И это не просто возраст — это десятилетия знаний, открытий, дружбы и успешных историй, в которых вы сыграли главную роль 

🎁 В честь дня рождения мы приглашаем вас присоединиться к празднованию и сделать особенный подарок альма-матер! 

В карточках представлен вишлист 🍰 Выберете из него самый близкий для вас проект, который ежегодно финансируется за счёт дохода от целевого капитала. Ваш подарок пополнит капитал и ежегодный бюджет проекта увеличится, сделав будущие поколения МИФИстов ещё счастливее 💟 

Сделать подарок можно нажав оранжевую кнопку ""Стать дарителем"" на сайте эндаумент-фонда https://endowment.mephi.ru/

Размер подарка совершенно не важен, важно то, сколько подарков получит МИФИ как любимый университет многих тысяч успешных и счастливых выпускников! 

Спасибо, что остаётесь частью большой семьи МИФИстов!🫶

#МИФИсТЫ #к_МИФИ_с_любовью"
5,Sat Nov 23 16:00:00 2024,29163,"जन्मदिन मुबारक हो मेफी विश्वविद्यालय 
 
Именно так на языке хинди пишется “С Днем рождения МИФИ”. 
 
А как это будет звучать на других языках мира мы решили узнать у наших студентов. Свои пожелания выразили студенты-мифисты из Парагвая, Индии, Узбекистана, Замбии, Вьетнама, Армении, Руанды, Турции и Туниса.
 
Запоминаем необычные поздравления и удивляем окружающих!"
6,Sat Nov 23 14:00:01 2024,29160,"🎉Продолжаем поздравления от самой движущей силы МИФИ – студентов 
 
Для студентов университетская жизнь – это незабываемый период, который, хотя и кажется долгим (особенно в период сессии), но на самом деле является коротким и ярким этапом. Вы, дорогие студенты, это точно поймете, только чуточку позже. 
 
МИФИ – это не только знания, но и люди. Именно здесь ребята находят друзей, и как правило, на всю жизнь, здесь они теряют голову от любви, расстаются и снова мирятся, здесь они встречают преподавателей и сотрудников, на которых хочется равняться, и самое главное – здесь они обретают себя. 
 
Искренние поздравления от студентов читайте в наших карточках."
7,Sat Nov 23 13:30:00 2024,29159,
8,Sat Nov 23 13:04:44 2024,29158,"🎉Поздравления не заканчиваются! 
 
Представляем вашему вниманию пожелания от тех, кто вдохновляет мифистов и весь мир на открытия, кто поддерживает студентов как в учебе, так и в жизни – это преподаватели и сотрудники МИФИ. 
 
День рождения университета – это и их день. Ведь благодаря преподавателям МИФИ развивается, а также воспитывает смелых, творческих и уникальных личностей. 
 
Не пропустите наши карточки с пожеланиями!"
9,Sat Nov 23 12:30:00 2024,29157,
